Species,Weight,Wing,Culmen,Hallux
RT,920,385,25.7,30.1
RT,990,381,26.7,31.3
CH,470,265,18.7,23.5
SS,170,205,12.5,14.3
RT,1090,412,28.5,32.2
RT,960,370,25.3,30.1
RT,855,375,27.2,30
RT,1210,412,29.3,31.3
RT,1120,405,26,30.2
RT,1010,393,26.3,30.8
RT,1010,371,25.4,29.7
RT,1120,390,28.9,30.9
RT,1170,416,26.5,34
RT,1390,436,30.5,34
RT,1150,418,27.1,31
RT,950,381,28.9,28.9
RT,910,378,25.7,28.2
RT,1010,396,24,26.9
RT,1070,399,26.4,31.2
RT,1190,416,28.8,31.6
RT,101,415,24.9,30.7
RT,1330,392,27,30.3
RT,990,380,26,30
RT,1100,399,26.2,32.5
RT,1190,401,28.6,31.6
SS,180,205,11.7,15
RT,1490,427,30.1,32.4
RT,1040,395,27.1,31.4
RT,820,362,24.9,27.9
RT,1030,396,26,29.7
RT,1300,391,25.5,32.4
RT,1500,413,26.5,31.3
RT,1080,371,25.3,27.2
RT,1320,385,27.3,30.1
RT,1490,378,25.4,31.3
RT,1500,416,29.1,30.8
SS,100,193,9.3,101
SS,88,171,9.7,11.5
CH,324,233,16,19.3
RT,1060,384,26.1,31.2
RT,1140,382,25.1,29.4
RT,1030,390,27.6,30.3
RT,1000,390,25.1,28.3
RT,1050,393,28.7,29.8
RT,1040,378,26.2,31.2
RT,1110,398,26.5,30.9
RT,1300,412,27.9,31.55
RT,980,400,25.7,29.3
RT,1120,422,26.4,28.3
SS,134,202,12.4,13.7
RT,1270,394,27.8,31.6
RT,880,369,25,26.5
CH,340,252,16,20.8
CH,340,240,16.1,19.3
RT,1255,410,29.7,31.4
RT,1320,241,28.6,36.4
RT,1320,408,30,33.4
RT,1180,37.2,20.2,26.65
RT,760,380,24.5,26.1
RT,1250,396,26.6,32.5
SS,100,158,10.8,10.5
RT,1300,416,27.3,32.7
CH,475,271,18.2,24.75
SS,100,176,9.8,11.1
RT,1080,390,30.2,29.1
RT,1130,391,26.4,29.4
RT,1160,387,26.8,31
RT,1345,420,29.5,34.3
RT,1385,435,32.6,30.6
RT,1210,400,25.5,28.6
RT,1455,398,28,31.5
RT,1180,395,25,28.9
RT,1500,410,27.1,33.2
RT,1025,369,27.1,31.5
RT,930,372,26.1,31.1
RT,1360,415,28.6,33.5
RT,1255,412,27.7,32.6
SS,194,205,12.6,14.4
SS,159,204,12.5,14.8
SS,90,170,9.5,11.3
CH,340,233,17.8,19.4
RT,1065,375,25.9,30
RT,1125,385,19.6,31.4
RT,1340,422,28.7,32
RT,1050,391,26.6,32.2
RT,1210,410,27.5,308
RT,980,385,26.8,27.8
RT,1000,381,25.5,29.8
RT,1390,416,28.1,31.3
RT,1275,406,29,33.7
RT,1180,418,30.1,341.4
RT,1210,412,29.3,33.8
SS,168,208,12.7,14.8
SS,146,208,11.8,14.9
SS,108,175,10,11.5
SS,94,166,9.5,11.3
RT,1085,405,27.7,29.9
SS,188,198,12.2,143
SS,154,200,12.4,14.4
RT,810,380,25.9,28.7
RT,905,381,27.9,29.1
SS,94,169,9,10.2
CH,420,260,19.6,23.9
RT,1240,428,29.1,34.7
RT,990,400,26.9,31.4
CH,365,265,16.8,22.5
SS,91,177,10.2,11.3
RT,1010,381,25.8,31.7
RT,980,403,26.3,29.7
RT,860,382,26.5,29
RT,970,382,25.8,29
RT,980,399,27.5,29.9
RT,985,380,23.9,29
RT,990,375,25.6,30.6
RT,1210,420,27.8,32.6
SS,89,170,8.6,11
SS,97,177,10,11.3
RT,990,375,28,29.5
RT,1170,395,28.1,31.7
SS,93,170,10.1,11.2
RT,1350,406,30.5,32
RT,1370,414,29.3,33
SS,103,173,9.7,19.4
SS,151,209,12.2,13.9
SS,101,177,10.3,12.1
RT,985,388,26.9,29.8
RT,940,277,26.5,30.4
RT,1310,423,27.4,34.1
RT,1035,365,26.1,30.8
RT,965,383,26.1,31.8
RT,1125,391,25.4,30.9
RT,975,389,26.4,30.3
RT,1140,392,26.2,29.8
RT,950,375,25.3,29.9
RT,1210,410,28.1,28.9
SS,95,179,10.8,11.6
SS,89,172,9.4,10.8
SS,195,202,12.4,14.1
SS,93,174,9.5,11
RT,1205,422,28.8,31.3
RT,1045,385,27.6,27.5
RT,1090,363,26.6,28.8
RT,1190,450,30.3,32.8
RT,960,380,25.6,30.1
RT,955,385,26.3,30.1
RT,1110,385,24.7,30.2
SS,100,171,19.1,11.5
RT,900,380,24,26.5
RT,1075,384,26.5,30.7
RT,980,373,27.9,32.1
RT,940,381,27.8,34.2
RT,1070,363,25.6,30.4
RT,1120,409,29.4,31.6
RT,1060,390,27.6,29
SS,168,204,12.1,14.3
SS,211,197,11.5,13.9
RT,1125,420,27.2,27.4
RT,1100,381,27,28.2
RT,1360,408,30,33.9
RT,995,388,26.7,30.7
RT,1095,398,21.1,31.4
SS,196,209,12.1,14.6
SS,176,209,11.7,15.1
RT,1075,394,25.5,29.7
SS,180,204,12.3,15.2
SS,164,204,12.3,14.3
SS,158,209,12.2,14.4
RT,1140,394,26.8,29.2
RT,1240,416,27.9,31.8
RT,1465,445,29.7,34.6
SS,169,209,12.1,14.5
RT,1105,388,26.7,28.9
RT,1010,397,27.1,31.4
RT,1075,384,26.3,30.5
RT,1060,379,27.9,30.9
RT,1015,393,27.6,31.1
RT,1100,386,26,30.2
RT,1010,397,25,30.6
RT,1000,382,26.3,30.1
RT,980,386,25.4,30.2
RT,1240,417,28.7,32.4
RT,1360,403,27.9,33.1
CH,183,239,17.3,19.2
RT,1405,401,29.1,82.8
RT,1055,377,27,29.1
RT,1670,432,27.1,32.9
RT,1250,390,26.2,30.5
RT,1030,381,25.3,29.9
SS,190,213,12.2,15.5
SS,105,172,10,10.8
RT,1090,390,26.2,28.8
SS,190,204,11.8,13.9
RT,1050,386,28.4,29.4
RT,1110,402,26.1,30
SS,206,201,12.1,13.5
SS,195,202,12.1,14.8
RT,1010,374,24.9,30.1
RT,880,358,24.2,28.7
RT,1060,370,24.3,29.8
RT,920,390,25.7,30
RT,1195,398,26.2,29.8
RT,890,360,26,28.4
RT,900,355,25.3,29
RT,1110,375,22.2,31.5
SS,160,200,10.2,13.2
SS,105,179,10.1,11.3
SS,99,175,9.6,12.7
SS,165,203,12,14.4
SS,100,205,12,12.5
SS,125,213,11.5,14.4
RT,1100,409,29,32.6
SS,155,195,11.9,14.6
RT,1285,415,29.5,31.8
CH,390,236,15.1,20.4
RT,920,363,26.8,30.2
RT,1025,381,25.4,30.8
RT,940,350,26,29.1
RT,1240,398,28.5,30.8
RT,1160,412,27.8,33
SS,150,203,11.5,13.9
SS,130,201,11.7,14.4
RT,1240,411,26.8,32.7
RT,930,373,24.4,27.4
SS,90,178,10.9,12.1
RT,1240,415,25.6,31.2
RT,1030,383,25.2,29.8
CH,550,223,18.8,21.3
RT,1250,390,26.5,32
RT,999,390,25.3,29.8
RT,1120,365,26.5,30.8
RT,1000,345,26.4,30.1
CH,530,273,19.2,24.7
RT,1040,400,27.7,32.1
RT,1150,380,27.8,31.1
RT,1000,330,25.9,30.2
RT,1360,410,33.3,28.6
RT,930,313,25.7,28.9
RT,980,384,25.8,30.4
RT,1260,409,27.7,31.8
RT,900,390,27.5,28.6
RT,1300,411,25.9,31.9
CH,470,259,16.6,23.4
RT,1040,380,26.4,30.9
RT,950,370,27.3,30.5
RT,1320,415,29.4,33.9
SS,180,215,14.1,12.7
RT,1280,410,27.9,32.7
RT,1310,412,26.1,31.1
RT,910,384,26.4,28.4
RT,1220,404,28.6,30.4
RT,920,375,23.8,28.8
RT,1135,410,26.4,32.4
RT,940,384,26.2,29.8
RT,920,385,25,32.2
RT,1280,398,28,32.4
RT,1220,425,27.3,33
RT,1000,401,26.7,28
RT,1120,387,26.8,50.2
RT,925,376,26,30.8
SS,90,171,9.9,11.9
RT,1280,420,27.5,31.8
RT,985,385,27.5,30.8
RT,1350,405,28.3,32.6
RT,730,350,24.6,25.7
RT,890,388,27.8,31.2
RT,1020,398,26.5,31.1
RT,1000,410,27.1,30.6
SS,150,202,11.7,14.1
SS,180,204,11.5,12.4
RT,1020,382,26.5,29.4
RT,1340,111,26.85,31.9
RT,1300,396,27.3,30.5
RT,1015,363,25.5,30.1
RT,900,360,30.5,28.8
RT,1000,390,26.1,29.6
SS,150,195,12.3,14.6
RT,1050,390,24.8,32.5
RT,950,380,24.9,29
CH,350,225,12.6,26
CH,375,247,16.9,18.2
RT,1175,415,28.3,33.2
RT,980,354,25.8,29.3
RT,1260,417,29,32.8
RT,1050,379,25.9,31.3
RT,1330,412,29.2,32.2
RT,980,377,28,29.1
RT,920,372,25.3,30
RT,1540,420,29.9,35.5
RT,1060,368,25.5,26.9
RT,1420,406,29.9,32
CH,400,225,15,20
RT,1142,392,27.2,33
SS,157,191,12,13.8
SS,98,161,10.3,11.7
RT,813,365,26.2,30.1
SS,94,156,9.9,11.4
SS,155,191,16.5,14.4
SS,181,198,12.5,14.1
SS,92,160,9.8,11
SS,98,164,10.1,11.4
RT,1024,352,26.6,30.3
CH,464,265,19.2,24.1
SS,100,163,10.4,11.2
SS,186,193,12.8,14
SS,164,190,11.9,14.5
SS,98,165,10.1,11.4
SS,158,198,12.1,14.5
RT,1023,370,25.8,30.1
RT,340,230,16.5,30.5
CH,163,194,12.2,20
SS,92,157,9.8,14.7
SS,550,260,19.5,11.2
CH,1119,377,25.4,23.9
RT,917,364,26,29.6
RT,946,367,26.7,28.9
RT,337,233,15.7,31.9
CH,742,336,23.4,18.8
SS,439,259,18.8,15.2
CH,187,199,12.2,24.2
SS,92,165,9.7,14.6
SS,1094,370,27.3,11.5
RT,832,362,23.8,32.6
RT,1244,368,26.7,30.2
RT,974,367,25.2,29.6
RT,1289,400,28.6,32.1
RT,999,379,28.3,32
RT,994,360,26.5,30.4
RT,1004,362,27,31.4
RT,1097,378,28.9,33.4
SS,185,201,13.1,14.5
SS,181,193,12.8,11.5
RT,1092,372,27.2,31.8
RT,1049,369,30.1,32
RT,998,354,27.2,29.2
RT,1091,367,31.8,34.2
RT,987,349,29,31.1
RT,1151,375,34.1,33.7
RT,971,343,25.1,26.1
RT,1159,360,32.9,34
RT,1239,395,26.7,33.2
RT,1216,400,28.5,32.1
SS,177,170,12.3,14.4
CH,469,268,20,24.9
RT,1039,369,26.9,29.5
RT,1079,365,25.2,30
RT,1159,375,33.8,32.7
SS,162,230,12.3,13.8
CH,339,213,23.5,13.8
RT,1403,382,34.9,34.7
SS,175,168,12.9,14
RT,1473,478,39.2,44.7
RT,1001,469,29.9,43.2
SS,98,172,8.7,10.9
RT,914,373,25.9,30.4
RT,1059,386,25.5,30.5
RT,1147,384,29,35
RT,949,351,26.8,29.7
SS,102,168,9.6,11.9
RT,973,363,24.8,27.3
SS,196,199,12.4,15.2
CH,327,235,16.5,20.3
RT,1064,374,26,32.1
RT,749,369,24,26.8
SS,201,202,11.7,14.9
SS,180,202,12.4,14.1
RT,1213,374,24.9,28
RT,1200,389,28.2,30.8
RT,1040,379,25.3,29.4
SS,113,170,10.6,11.1
RT,919,373,24.2,28.5
RT,1487,403,26,32.5
RT,1254,400,25.2,30
SS,156,205,10.8,14.1
RT,1189,405,27.7,31.3
RT,979,382,24.8,27.9
SS,96,165,10.7,11.4
RT,1339,407,27.3,33.4
RT,1199,403,28.8,31
RT,1344,406,27.9,33.1
RT,969,381,26.1,31.1
RT,1039,395,26,29.7
RT,1054,410,28.5,31.5
CH,334,243,17.5,19.2
SS,101,170,9.8,11
SS,181,210,12.2,15
RT,1449,425,30.3,33
RT,985,402,26.6,29.8
RT,1598,480,34.2,35.4
RT,992,412,30.1,31.5
CH,569,260,19.1,24
RT,1354,381,28.2,32
RT,969,392,25.9,29
RT,1080,382,25.3,31
SS,185,196,12.5,14
RT,1097,391,27.9,32.8
RT,1439,397,28.8,31.4
RT,1019,376,25.8,29.5
RT,1239,410,29.5,31.8
RT,1399,381,27.6,31.3
RT,1169,396,27.5,25.2
RT,1164,383,27,29.9
SS,176,203,11.5,14.7
CH,429,255,19,22.9
SS,160,196,12.3,14.7
SS,105,168,10.2,11
RT,890,392,24.1,29.2
SS,100,163,9.7,11.6
RT,1215,395,28.3,33
SS,100,163,9.9,11.3
RT,1030,370,27.6,31.4
CH,340,225,15.7,19.4
SS,165,197,11.9,9.6
RT,985,376,26.4,30.3
RT,975,372,26.5,31.6
RT,1165,391,28.2,32.4
SS,95,165,9.7,11.2
RT,1044,364,23.5,29
SS,180,202,12.9,15
SS,125,163,9.7,10.9
RT,890,375,24.6,28
RT,1105,392,26.4,33.6
RT,1310,398,28.3,35.2
RT,895,371,26.8,31
RT,1060,367,26.8,31
SS,165,193,13.2,14.6
RT,960,375,28.9,29.3
RT,1270,408,29.4,33
CH,540,252,20,28.8
CH,365,237,17.3,19.9
RT,1170,399,28.3,29.9
CH,590,268,20,19.9
RT,1225,388,29,31.5
SS,175,200,12.3,15.6
SS,170,192,12.4,15.5
SS,100,167,10,11.3
RT,1060,370,26.6,31.9
SS,110,162,10,11.8
RT,850,363,25.5,30
RT,1145,371,25.5,10.3
SS,165,199,12.5,15.7
RT,1090,386,26.1,28.2
RT,1345,400,32.6,33.9
RT,1050,390,26.6,29
SS,200,199,12.5,14.9
CH,505,254,19.6,24
RT,1040,382,27.1,30.8
SS,155,196,12.7,14.3
RT,965,354,26.2,28.5
RT,1105,403,28.9,33.2
SS,155,194,12.6,13.7
RT,1045,375,27.2,30
RT,900,369,24.4,27.3
RT,1015,368,25.7,30.3
RT,1385,393,27.9,32.6
RT,1165,370,26,31.5
RT,905,378,28,32.3
RT,985,369,26,31.1
RT,800,364,25.5,28.6
RT,995,387,26.9,31.4
RT,1460,410,29.4,33.6
SS,165,194,11.9,14.1
RT,1585,410,30.6,39.8
SS,185,194,13.1,15.5
RT,920,373,25,28.3
RT,1460,390,29.3,35.6
RT,1315,404,30,32.5
RT,1019,375,26,29.9
RT,1215,395,29.7,31.3
RT,1005,379,27.8,31.4
RT,1350,382,27.9,29.9
RT,1145,404,27.7,31.8
SS,175,205,12.25,15.5
RT,1010,377,25.4,29
SS,155,184,12,14.9
RT,1120,390,26.6,30
RT,280,404,28.2,31.55
RT,775,351,25.4,29.3
RT,1210,394,29.4,31.7
SS,107,175,10,11.4
RT,909,372,24.4,25.4
SS,95,169,10,11.85
RT,1145,376,25.1,31.55
RT,1150,399,27.2,29.55
RT,1560,399,30,33.85
RT,940,357,23.6,28.35
SS,145,195,11.7,14.6
RT,1089,400,27.3,33.1
RT,1194,382,29.4,33.8
SS,95,161,10.1,11.3
RT,1015,390,28,30.1
RT,975,379,24.1,29.1
RT,1035,376,26.8,30.5
RT,1055,331,27,30.4
RT,945,371,26.1,30.2
SS,90,160,11,11.8
RT,785,361,25.2,28.7
CH,56,268,19.3,26.1
RT,1220,394,30.3,34.5
SS,175,191,13,15.3
RT,1025,358,27.4,29
RT,1000,380,26.9,29
SS,175,188,12.1,14.2
RT,1210,397,28.3,34
SS,180,196,13.1,13.9
SS,175,190,12.8,14.6
SS,90,161,9.8,11.1
CH,320,145,16.5,20.5
RT,1185,392,28.5,33
CH,350,230,16.4,21.3
RT,950,363,24.6,30.3
SS,85,162,10.1,11.4
RT,895,374,26.4,30.8
RT,1150,412,27.8,33.2
CH,565,272,20.7,24
RT,950,388,26.5,32.2
RT,990,371,26.9,29.7
CH,325,225,15.8,18.7
RT,1120,391,29,33.9
SS,90,163,9.8,11.5
RT,1120,410,28.5,33.6
RT,820,368,25.2,28.7
RT,1200,410,26.7,29.4
RT,1120,425,29.4,33.3
RT,1120,368,24.7,30.8
RT,1220,392,27.3,34.1
SS,470,250,18.9,25.3
RT,1310,418,29.1,31.9
RT,920,370,26.8,29.7
SS,100,170,10.9,12.2
SS,180,203,13.2,15.6
RT,955,370,26.5,30.5
RT,1225,408,28.8,32.7
RT,1400,393,27.9,35.3
RT,1025,365,24.6,30.1
RT,1140,405,28.2,31.9
RT,1080,381,26.1,31.6
RT,1135,390,27.6,31.1
RT,1430,384,29.8,35
RT,1050,390,25.6,29.9
RT,920,381,27,29.6
SS,175,194,12.4,14
RT,905,371,23.6,26.8
RT,915,356,26.4,28.9
RT,910,377,25,29
RT,950,362,25.4,29.7
SS,105,165,10.1,11.8
SS,100,155,9.3,11.8
RT,1225,400,27.3,34.2
SS,105,161,10.4,12
RT,1090,387,27.9,32.4
RT,1350,409,30,32.7
SS,200,195,13,13.4
SS,200,196,13.5,15.4
SS,100,169,10,11.7
RT,940,385,26.2,30.5
RT,920,377,24.7,29.3
RT,1190,400,29.4,33.3
SS,90,164,9.4,10.7
SS,95,165,10.4,11.4
RT,915,363,25,28.3
CH,535,266,18.8,25.4
RT,1310,403,29.1,33.3
RT,950,375,26.9,30.1
SS,120,166,10.1,11.7
RT,975,373,26.1,27.9
RT,990,373,27.9,31
SS,110,170,11.4,121
RT,1270,373,26.5,29.6
RT,960,354,26,31
RT,1290,394,28.8,30.7
SS,95,165,10.2,11.6
CH,505,261,19.2,25.1
RT,1045,377,26.9,31.5
RT,1090,364,27.1,30.3
RT,1180,385,28.6,30
RT,1195,390,27.6,34.7
RT,1055,383,27.7,32.7
RT,1025,365,26.1,30.3
SS,175,201,12,14.8
RT,940,376,25.1,31.7
RT,1335,402,28.3,33.3
RT,1085,394,29.4,32.7
CH,375,223,16.2,20.7
RT,1090,378,28,30.9
RT,995,369,26,28.2
RT,1090,378,28,30.7
RT,1020,262,28,31.2
SS,100,165,10.6,12.1
RT,1000,379,28.6,32.2
RT,1085,380,27.4,33.3
RT,1045,380,24.9,27
RT,1060,393,27.7,32.4
RT,1135,389,27.1,32.1
RT,1210,395,28.5,28.5
SS,185,207,13,14.3
RT,965,367,24.8,24.1
RT,905,368,26.8,27
RT,1125,377,25.3,29.5
RT,950,374,27.2,29.8
RT,1195,385,27.3,30.9
RT,1005,363,25,31.6
SS,95,164,11.4,130
SS,175,199,12.3,15
RT,995,378,26.2,30
SS,165,200,12.1,14.2
RT,1170,405,29.25,39.8
SS,145,194,12,14.6
SS,175,190,12.4,15.2
SS,170,195,13.1,14.8
SS,105,161,10.3,11.2
SS,95,168,10,11.4
SS,95,160,9.8,10.8
RT,1085,392,31.2,34.6
SS,165,201,12.3,14.8
RT,1115,395,27.4,32.7
RT,1195,390,27.6,33
SS,100,161,9.8,11.9
CH,365,230,16.9,23.55
SS,170,192,11.9,9.5
SS,90,156,9.8,11.3
SS,95,158,10.7,11.1
SS,115,167,9.8,11.4
SS,155,199,11.9,14.5
CH,229,320,17,21
RT,1165,389,29,33.1
CH,155,227,17.1,21
CH,340,230,16.1,20.2
SS,180,199,12,15.5
RT,235,378,25.4,30.7
SS,105,164,10.2,11.2
RT,1085,385,27.5,30.8
RT,970,369,26.1,30.4
RT,1030,378,28.5,31.9
RT,1015,373,25.5,29.6
RT,1030,419,29.2,31.5
RT,1215,414,26.4,29.2
SS,185,203,13.5,14.2
SS,95,162,10.2,11
SS,95,165,10,11
SS,95,161,9.7,11
SS,110,161,10.1,11.8
RT,1170,404,28.4,32.8
SS,105,165,10.4,11.2
SS,175,199,12.8,14.5
SS,95,171,10.9,11.7
SS,190,213,13.7,15.2
SS,105,169,10.2,11.8
RT,1435,379,27.4,32.7
RT,1235,407,30.1,35.8
RT,1055,376,29.5,32.2
RT,1105,380,22,30.8
SS,120,172,9.8,11.8
RT,1390,408,28.4,32.7
SS,105,167,10.3,10.8
RT,1080,374,26.5,31.3
RT,910,376,26.1,32.2
CH,490,258,18,24.2
RT,845,370,25,27.4
SS,175,202,13.3,14.9
RT,865,363,25.6,27.3
SS,180,200,11.9,13.5
RT,2030,372,26.2,30.2
RT,960,378,24.6,30
CH,515,254,19.5,23.8
RT,970,361,26.3,30.7
RT,1265,389,26.6,30.6
RT,1300,404,29.4,32.8
SS,170,195,12.9,14.7
SS,191,203,13.5,15.5
CH,540,253,19.1,22.6
SS,185,199,12,14.9
SS,165,194,11.9,14.4
SS,205,196,12.2,14
SS,95,168,10.4,12.1
RT,1170,395,25.8,30.5
RT,1075,368,27.7,31.7
SS,200,210,12.1,15.3
RT,965,401,25.8,29.1
RT,785,355,22.7,25
RT,1095,377,25.6,31.7
SS,160,197,12,14.7
SS,95,171,9.1,11.5
RT,1500,277,29.7,32.1
RT,1595,435,27.4,34.5
RT,985,372,25.4,31
CH,565,260,20,24.2
RT,240,390,25.2,29.3
RT,875,359,26,31.1
RT,1225,393,29,33.4
RT,1255,402,30.6,34.6
RT,950,362,26.8,30.7
CH,330,227,16,18.5
RT,895,359,27.5,30.1
SS,100,155,9.8,12
CH,455,261,17.1,26.8
SS,90,160,10.3,11.5
SS,105,166,11.3,11.4
RT,1305,362,28.2,34.3
RT,975,375,27.2,31.8
RT,1185,388,28.9,34.3
RT,1030,392,26.1,30.5
RT,1215,412,28.7,34.1
RT,1075,371,26.9,32.8
CH,960,255,19.7,42.8
RT,795,391,24.3,27.6
SS,180,190,12.2,14.2
RT,1225,385,27.8,32
SS,110,166,10,11.9
SS,165,197,12.2,14.9
RT,920,370,26.3,32
SS,170,190,12,15
RT,1315,400,29.6,34
SS,100,162,9.4,11.1
SS,155,194,12.5,14.5
RT,1155,395,29.9,34.4
RT,1160,403,29,32.3
RT,955,386,27.9,30.4
SS,190,193,13.1,14.9
SS,180,203,13.8,14.7
SS,90,159,10,11.5
SS,100,163,9.8,11.7
SS,190,191,12.4,14.8
SS,105,166,10.3,12
RT,1030,361,27,30.5
CH,565,260,19.7,54.5
CH,380,234,12.4,21.9
RT,1040,377,28.1,30.9
RT,910,361,24.3,27.5
RT,1005,375,26,32.5
SS,180,193,11.9,14.3
SS,175,196,12.4,15.6
SS,105,159,9.8,11
SS,190,192,11.8,14.2
RT,1250,401,28.2,35.3
SS,185,198,12.6,15.2
RT,1275,407,27.5,33.7
SS,105,162,9.8,12.5
CH,640,169,16.7,23.6
SS,100,168,10.5,10.7
SS,105,168,10.7,11.6
CH,390,223,15.9,20.6
RT,1030,375,26.9,31.3
RT,1290,406,29.3,33.3
RT,1020,386,26.9,31.6
SS,105,160,9.9,11.4
RT,1055,378,26.5,29.9
SS,185,193,12.3,14.8
RT,1010,379,25,29.3
RT,1015,364,24.9,29.5
RT,1115,350,29.5,30.3
RT,1320,380,26.7,31.6
RT,1180,395,30.3,33.4
RT,1145,372,25.9,32.2
RT,995,376,28,30.2
RT,1045,367,26.1,30.5
CH,340,230,16,19.5
RT,935,366,25.7,27.1
RT,1065,386,26.1,31
RT,1110,375,27.7,31.3
SS,190,199,12,15.2
RT,1255,405,27.9,31.8
RT,1015,371,24.9,28.4
SS,190,193,12.2,15.2
RT,960,350,26.6,29.9
SS,200,193,11.3,13.5
RT,1090,368,27.3,30.4
SS,170,185,12,14.7
RT,1085,372,25.4,29.8
RT,1065,396,27.7,30
RT,1125,365,26.9,29.3
RT,1050,374,25.5,30.3
CH,525,253,19.5,23.5
RT,980,372,26.4,29
RT,1180,376,24.4,30.7
SS,115,166,9.9,11.6
RT,1095,369,26.6,28.4
RT,1330,391,26.8,30.1
SS,185,193,12.1,14.9
RT,1100,397,22.1,28.8
RT,1115,366,27.1,21
RT,1400,385,30.3,33.3
RT,1175,400,27.6,32.6
SS,185,198,11.8,15.1
RT,970,365,25.9,31.6
SS,170,194,11.6,14
SS,175,195,12,15.6
SS,165,200,11.5,14.5
RT,1260,384,28.6,32.5
SS,110,159,9.9,11.1
SS,100,161,9.3,11.5
SS,190,191,12.3,14.8
CH,305,216,16,20.4
CH,510,256,18.8,23.3
SS,90,161,9.5,11.3
RT,1195,396,27,23.8
RT,1035,391,27.9,33.1
SS,90,160,8.8,11.4
SS,160,183,12.7,14.6
SS,85,156,9.7,11
RT,1155,393,28.3,30.9
RT,1260,397,27.8,32.9
SS,95,159,8.9,10.4
CH,440,255,18.6,22.8
SS,175,197,10,14.9
CH,295,218,16.1,19.4
SS,160,196,12.6,14.5
RT,1010,384,26.8,31.1
RT,990,385,26,29.6
SS,150,181,11.4,14.3
CH,300,225,16,20.1
RT,945,379,24.5,31.3
SS,188,201,11.7,14.9
SS,95,161,10.6,11.5
CH,330,230,15.7,19.4
SS,95,159,9.9,11.2
RT,970,367,26.4,30.5
RT,1240,396,28.9,32.8
SS,105,157,10,11.5
SS,165,191,11.5,14.9
SS,170,191,12.1,15.1
SS,100,168,10.2,11.9
RT,1290,428,28.4,33.9
CH,470,252,19.5,28.4
SS,175,192,11.7,14.2
SS,195,195,13.6,14
CH,335,233,16.3,21.3
RT,1150,364,26.1,28.2
RT,960,370,25.4,30.4
RT,1130,400,28.3,29.4
RT,925,375,25.4,28.6
RT,1205,398,27.6,33.4
RT,1040,385,27.2,31.5
SS,100,156,9.9,11.2
CH,335,230,16.3,19.7
CH,335,220,16.2,20
SS,105,163,10.3,11.7
RT,860,376,25.6,30
RT,935,360,25.8,30
RT,1010,372,24.3,29
RT,1285,400,29.7,33.5
SS,210,194,13,14.5
RT,830,370,23.6,27.8
SS,95,160,10.2,11.2
RT,1350,403,28,32.8
RT,1010,375,25,30.8
RT,960,373,27.7,32.5
RT,1370,385,26.4,29.2
SS,170,143,12.8,13.9
SS,100,162,8.7,11.4
RT,1250,392,28.6,32.9
RT,915,372,24.7,28.2
RT,850,375,25,28
RT,1285,415,29.4,34
SS,95,161,9.8,11.7
RT,1005,380,27,31.6
RT,1220,411,28.1,32.7
SS,95,161,9.6,12.4
SS,100,165,9.8,12
RT,1265,393,28.3,32.7
RT,1020,370,24.6,30
CH,360,230,16,22.1
RT,895,365,24.5,28.9
RT,1160,371,25.7,28.4
RT,1585,400,29,33.8
RT,1140,382,24.9,31.6
RT,1115,371,25.3,29.2
RT,1145,370,25.4,30.2
SS,185,194,12.8,14.8
RT,990,347,25.3,29.8
SS,165,195,11.7,14.5
RT,1030,392,26.3,28.1
CH,320,220,15.5,19.5
SS,105,193,13,15.6
RT,990,365,26.4,30
RT,1065,387,28,32.7
RT,1050,400,26.1,29.7
RT,840,362,23.2,26.1
SS,190,198,12.2,15.8
SS,200,190,12.7,15
SS,185,197,12.8,15.6
RT,1000,370,26.9,31.4
SS,185,200,12.8,15.2
RT,1325,360,26.2,30.6
RT,945,366,25.3,27.2
RT,1350,402,28.7,31
RT,805,366,23.5,25.7
RT,1525,380,26,27.6
SS,175,190,12.7,15.4
RT,790,360,21.9,27.6
RT,860,369,25.2,28
RT,1290,199,28.7,32.1
