Date,season,holiday
1/12/17,Winter,No Holiday
2/12/17,Winter,No Holiday
3/12/17,Winter,No Holiday
4/12/17,Winter,No Holiday
5/12/17,Winter,No Holiday
6/12/17,Winter,No Holiday
7/12/17,Winter,No Holiday
8/12/17,Winter,No Holiday
9/12/17,Winter,No Holiday
10/12/17,Winter,No Holiday
11/12/17,Winter,No Holiday
12/12/17,Winter,No Holiday
13/12/2017,Winter,No Holiday
14/12/2017,Winter,No Holiday
15/12/2017,Winter,No Holiday
16/12/2017,Winter,No Holiday
17/12/2017,Winter,No Holiday
18/12/2017,Winter,No Holiday
19/12/2017,Winter,No Holiday
20/12/2017,Winter,No Holiday
21/12/2017,Winter,No Holiday
22/12/2017,Winter,Holiday
23/12/2017,Winter,No Holiday
24/12/2017,Winter,Holiday
25/12/2017,Winter,Holiday
26/12/2017,Winter,No Holiday
27/12/2017,Winter,No Holiday
28/12/2017,Winter,No Holiday
29/12/2017,Winter,No Holiday
30/12/2017,Winter,No Holiday
31/12/2017,Winter,Holiday
1/1/18,Winter,Holiday
2/1/18,Winter,No Holiday
3/1/18,Winter,No Holiday
4/1/18,Winter,No Holiday
5/1/18,Winter,No Holiday
6/1/18,Winter,No Holiday
7/1/18,Winter,No Holiday
8/1/18,Winter,No Holiday
9/1/18,Winter,No Holiday
10/1/18,Winter,No Holiday
11/1/18,Winter,No Holiday
12/1/18,Winter,No Holiday
13/01/2018,Winter,No Holiday
14/01/2018,Winter,No Holiday
15/01/2018,Winter,No Holiday
16/01/2018,Winter,No Holiday
17/01/2018,Winter,No Holiday
18/01/2018,Winter,No Holiday
19/01/2018,Winter,No Holiday
20/01/2018,Winter,No Holiday
21/01/2018,Winter,No Holiday
22/01/2018,Winter,No Holiday
23/01/2018,Winter,No Holiday
24/01/2018,Winter,No Holiday
25/01/2018,Winter,No Holiday
26/01/2018,Winter,No Holiday
27/01/2018,Winter,No Holiday
28/01/2018,Winter,No Holiday
29/01/2018,Winter,No Holiday
30/01/2018,Winter,No Holiday
31/01/2018,Winter,No Holiday
1/2/18,Winter,No Holiday
2/2/18,Winter,No Holiday
3/2/18,Winter,No Holiday
4/2/18,Winter,No Holiday
5/2/18,Winter,No Holiday
6/2/18,Winter,No Holiday
7/2/18,Winter,No Holiday
8/2/18,Winter,No Holiday
9/2/18,Winter,No Holiday
10/2/18,Winter,No Holiday
11/2/18,Winter,No Holiday
12/2/18,Winter,No Holiday
13/02/2018,Winter,No Holiday
14/02/2018,Winter,No Holiday
15/02/2018,Winter,Holiday
16/02/2018,Winter,Holiday
17/02/2018,Winter,Holiday
18/02/2018,Winter,No Holiday
19/02/2018,Winter,No Holiday
20/02/2018,Winter,No Holiday
21/02/2018,Winter,No Holiday
22/02/2018,Winter,No Holiday
23/02/2018,Winter,No Holiday
24/02/2018,Winter,No Holiday
25/02/2018,Winter,No Holiday
26/02/2018,Winter,No Holiday
27/02/2018,Winter,No Holiday
28/02/2018,Winter,No Holiday
1/3/18,Spring,Holiday
2/3/18,Spring,No Holiday
3/3/18,Spring,No Holiday
4/3/18,Spring,No Holiday
5/3/18,Spring,No Holiday
6/3/18,Spring,No Holiday
7/3/18,Spring,No Holiday
8/3/18,Spring,No Holiday
9/3/18,Spring,No Holiday
10/3/18,Spring,No Holiday
11/3/18,Spring,No Holiday
12/3/18,Spring,No Holiday
13/03/2018,Spring,No Holiday
14/03/2018,Spring,No Holiday
15/03/2018,Spring,No Holiday
16/03/2018,Spring,No Holiday
17/03/2018,Spring,No Holiday
18/03/2018,Spring,No Holiday
19/03/2018,Spring,No Holiday
20/03/2018,Spring,No Holiday
21/03/2018,Spring,No Holiday
22/03/2018,Spring,No Holiday
23/03/2018,Spring,No Holiday
24/03/2018,Spring,No Holiday
25/03/2018,Spring,No Holiday
26/03/2018,Spring,No Holiday
27/03/2018,Spring,No Holiday
28/03/2018,Spring,No Holiday
29/03/2018,Spring,No Holiday
30/03/2018,Spring,No Holiday
31/03/2018,Spring,No Holiday
1/4/18,Spring,No Holiday
2/4/18,Spring,No Holiday
3/4/18,Spring,No Holiday
4/4/18,Spring,No Holiday
5/4/18,Spring,No Holiday
6/4/18,Spring,No Holiday
7/4/18,Spring,No Holiday
8/4/18,Spring,No Holiday
9/4/18,Spring,No Holiday
10/4/18,Spring,No Holiday
11/4/18,Spring,No Holiday
12/4/18,Spring,No Holiday
13/04/2018,Spring,No Holiday
14/04/2018,Spring,No Holiday
15/04/2018,Spring,No Holiday
16/04/2018,Spring,No Holiday
17/04/2018,Spring,No Holiday
18/04/2018,Spring,No Holiday
19/04/2018,Spring,No Holiday
20/04/2018,Spring,No Holiday
21/04/2018,Spring,No Holiday
22/04/2018,Spring,No Holiday
23/04/2018,Spring,No Holiday
24/04/2018,Spring,No Holiday
25/04/2018,Spring,No Holiday
26/04/2018,Spring,No Holiday
27/04/2018,Spring,No Holiday
28/04/2018,Spring,No Holiday
29/04/2018,Spring,No Holiday
30/04/2018,Spring,No Holiday
1/5/18,Spring,Holiday
2/5/18,Spring,No Holiday
3/5/18,Spring,No Holiday
4/5/18,Spring,No Holiday
5/5/18,Spring,No Holiday
6/5/18,Spring,No Holiday
7/5/18,Spring,No Holiday
8/5/18,Spring,No Holiday
9/5/18,Spring,No Holiday
10/5/18,Spring,No Holiday
11/5/18,Spring,No Holiday
12/5/18,Spring,No Holiday
13/05/2018,Spring,No Holiday
14/05/2018,Spring,No Holiday
15/05/2018,Spring,No Holiday
16/05/2018,Spring,No Holiday
17/05/2018,Spring,No Holiday
18/05/2018,Spring,No Holiday
19/05/2018,Spring,No Holiday
20/05/2018,Spring,No Holiday
21/05/2018,Spring,No Holiday
22/05/2018,Spring,Holiday
23/05/2018,Spring,No Holiday
24/05/2018,Spring,No Holiday
25/05/2018,Spring,No Holiday
26/05/2018,Spring,No Holiday
27/05/2018,Spring,No Holiday
28/05/2018,Spring,No Holiday
29/05/2018,Spring,No Holiday
30/05/2018,Spring,No Holiday
31/05/2018,Spring,No Holiday
1/6/18,Summer,No Holiday
2/6/18,Summer,No Holiday
3/6/18,Summer,No Holiday
4/6/18,Summer,No Holiday
5/6/18,Summer,No Holiday
6/6/18,Summer,Holiday
7/6/18,Summer,No Holiday
8/6/18,Summer,No Holiday
9/6/18,Summer,No Holiday
10/6/18,Summer,No Holiday
11/6/18,Summer,No Holiday
12/6/18,Summer,No Holiday
13/06/2018,Summer,No Holiday
14/06/2018,Summer,No Holiday
15/06/2018,Summer,No Holiday
16/06/2018,Summer,No Holiday
17/06/2018,Summer,No Holiday
18/06/2018,Summer,No Holiday
19/06/2018,Summer,No Holiday
20/06/2018,Summer,No Holiday
21/06/2018,Summer,No Holiday
22/06/2018,Summer,No Holiday
23/06/2018,Summer,No Holiday
24/06/2018,Summer,No Holiday
25/06/2018,Summer,No Holiday
26/06/2018,Summer,No Holiday
27/06/2018,Summer,No Holiday
28/06/2018,Summer,No Holiday
29/06/2018,Summer,No Holiday
30/06/2018,Summer,No Holiday
1/7/18,Summer,No Holiday
2/7/18,Summer,No Holiday
3/7/18,Summer,No Holiday
4/7/18,Summer,No Holiday
5/7/18,Summer,No Holiday
6/7/18,Summer,No Holiday
7/7/18,Summer,No Holiday
8/7/18,Summer,No Holiday
9/7/18,Summer,No Holiday
10/7/18,Summer,No Holiday
11/7/18,Summer,No Holiday
12/7/18,Summer,No Holiday
13/07/2018,Summer,No Holiday
14/07/2018,Summer,No Holiday
15/07/2018,Summer,No Holiday
16/07/2018,Summer,No Holiday
17/07/2018,Summer,No Holiday
18/07/2018,Summer,No Holiday
19/07/2018,Summer,No Holiday
20/07/2018,Summer,No Holiday
21/07/2018,Summer,No Holiday
22/07/2018,Summer,No Holiday
23/07/2018,Summer,No Holiday
24/07/2018,Summer,No Holiday
25/07/2018,Summer,No Holiday
26/07/2018,Summer,No Holiday
27/07/2018,Summer,No Holiday
28/07/2018,Summer,No Holiday
29/07/2018,Summer,No Holiday
30/07/2018,Summer,No Holiday
31/07/2018,Summer,No Holiday
1/8/18,Summer,No Holiday
2/8/18,Summer,No Holiday
3/8/18,Summer,No Holiday
4/8/18,Summer,No Holiday
5/8/18,Summer,No Holiday
6/8/18,Summer,No Holiday
7/8/18,Summer,No Holiday
8/8/18,Summer,No Holiday
9/8/18,Summer,No Holiday
10/8/18,Summer,No Holiday
11/8/18,Summer,No Holiday
12/8/18,Summer,No Holiday
13/08/2018,Summer,No Holiday
14/08/2018,Summer,No Holiday
15/08/2018,Summer,Holiday
16/08/2018,Summer,No Holiday
17/08/2018,Summer,No Holiday
18/08/2018,Summer,No Holiday
19/08/2018,Summer,No Holiday
20/08/2018,Summer,No Holiday
21/08/2018,Summer,No Holiday
22/08/2018,Summer,No Holiday
23/08/2018,Summer,No Holiday
24/08/2018,Summer,No Holiday
25/08/2018,Summer,No Holiday
26/08/2018,Summer,No Holiday
27/08/2018,Summer,No Holiday
28/08/2018,Summer,No Holiday
29/08/2018,Summer,No Holiday
30/08/2018,Summer,No Holiday
31/08/2018,Summer,No Holiday
1/9/18,Autumn,No Holiday
2/9/18,Autumn,No Holiday
3/9/18,Autumn,No Holiday
4/9/18,Autumn,No Holiday
5/9/18,Autumn,No Holiday
6/9/18,Autumn,No Holiday
7/9/18,Autumn,No Holiday
8/9/18,Autumn,No Holiday
9/9/18,Autumn,No Holiday
10/9/18,Autumn,No Holiday
11/9/18,Autumn,No Holiday
12/9/18,Autumn,No Holiday
13/09/2018,Autumn,No Holiday
14/09/2018,Autumn,No Holiday
15/09/2018,Autumn,No Holiday
16/09/2018,Autumn,No Holiday
17/09/2018,Autumn,No Holiday
18/09/2018,Autumn,No Holiday
19/09/2018,Autumn,No Holiday
20/09/2018,Autumn,No Holiday
21/09/2018,Autumn,No Holiday
22/09/2018,Autumn,No Holiday
23/09/2018,Autumn,Holiday
24/09/2018,Autumn,Holiday
25/09/2018,Autumn,Holiday
26/09/2018,Autumn,No Holiday
27/09/2018,Autumn,No Holiday
28/09/2018,Autumn,No Holiday
29/09/2018,Autumn,No Holiday
30/09/2018,Autumn,No Holiday
1/10/18,Autumn,No Holiday
2/10/18,Autumn,No Holiday
3/10/18,Autumn,Holiday
4/10/18,Autumn,No Holiday
5/10/18,Autumn,No Holiday
6/10/18,Autumn,No Holiday
7/10/18,Autumn,No Holiday
8/10/18,Autumn,No Holiday
9/10/18,Autumn,Holiday
10/10/18,Autumn,No Holiday
11/10/18,Autumn,No Holiday
12/10/18,Autumn,No Holiday
13/10/2018,Autumn,No Holiday
14/10/2018,Autumn,No Holiday
15/10/2018,Autumn,No Holiday
16/10/2018,Autumn,No Holiday
17/10/2018,Autumn,No Holiday
18/10/2018,Autumn,No Holiday
19/10/2018,Autumn,No Holiday
20/10/2018,Autumn,No Holiday
21/10/2018,Autumn,No Holiday
22/10/2018,Autumn,No Holiday
23/10/2018,Autumn,No Holiday
24/10/2018,Autumn,No Holiday
25/10/2018,Autumn,No Holiday
26/10/2018,Autumn,No Holiday
27/10/2018,Autumn,No Holiday
28/10/2018,Autumn,No Holiday
29/10/2018,Autumn,No Holiday
30/10/2018,Autumn,No Holiday
31/10/2018,Autumn,No Holiday
1/11/18,Autumn,No Holiday
2/11/18,Autumn,No Holiday
3/11/18,Autumn,No Holiday
4/11/18,Autumn,No Holiday
5/11/18,Autumn,No Holiday
6/11/18,Autumn,No Holiday
7/11/18,Autumn,No Holiday
8/11/18,Autumn,No Holiday
9/11/18,Autumn,No Holiday
10/11/18,Autumn,No Holiday
11/11/18,Autumn,No Holiday
12/11/18,Autumn,No Holiday
13/11/2018,Autumn,No Holiday
14/11/2018,Autumn,No Holiday
15/11/2018,Autumn,No Holiday
16/11/2018,Autumn,No Holiday
17/11/2018,Autumn,No Holiday
18/11/2018,Autumn,No Holiday
19/11/2018,Autumn,No Holiday
20/11/2018,Autumn,No Holiday
21/11/2018,Autumn,No Holiday
22/11/2018,Autumn,No Holiday
23/11/2018,Autumn,No Holiday
24/11/2018,Autumn,No Holiday
25/11/2018,Autumn,No Holiday
26/11/2018,Autumn,No Holiday
27/11/2018,Autumn,No Holiday
28/11/2018,Autumn,No Holiday
29/11/2018,Autumn,No Holiday
30/11/2018,Autumn,No Holiday
