faa,name,lat,lon
04G,Lansdowne Airport,41.1304722,-80.6195833
06A,Moton Field Municipal Airport,32.4605722,-85.6800278
06C,Schaumburg Regional,41.9893408,-88.1012428
06N,Randall Airport,41.431912,-74.3915611
09J,Jekyll Island Airport,31.0744722,-81.4277778
0A9,Elizabethton Municipal Airport,36.3712222,-82.1734167
0G6,Williams County Airport,41.4673056,-84.5067778
0G7,Finger Lakes Regional Airport,42.8835647,-76.7812318
0P2,Shoestring Aviation Airfield,39.7948244,-76.6471914
0S9,Jefferson County Intl,48.053808600000004,-122.8106436
0W3,Harford County Airport,39.5668378,-76.2024028
10C,Galt Field Airport,42.4028889,-88.3751111
17G,Port Bucyrus-Crawford County Airport,40.7815556,-82.9748056
19A,Jackson County Airport,34.1758638,-83.5615972
1A3,Martin Campbell Field Airport,35.0158056,-84.3468333
1B9,Mansfield Municipal,42.0001331,-71.1967714
1C9,Frazier Lake Airpark,54.013333333333335,-124.76833333333333
1CS,Clow International Airport,41.6959744,-88.1292306
1G3,Kent State Airport,41.1513889,-81.4151111
1G4,Grand Canyon West Airport,35.899904,-113.815674
1H2,Effingham Memorial Airport,39.07,-88.534
1OH,Fortman Airport,40.5553253,-84.3866186
1RL,Point Roberts Airpark,48.9797222,-123.0788889
23M,Clarke CO,32.0517,-88.4434
24C,Lowell City Airport,42.95392,-85.3439058
24J,Suwannee County Airport,30.300125,-83.0246944
25D,Forest Lake Airport,45.2477456,-92.9943853
29D,Grove City Airport,41.1460278,-80.16775
2A0,Mark Anton Airport,35.48625,-84.9310833
2B2,Plum Island Airport,42.7953611,-70.8394444
2G2,Jefferson County Airpark,40.3602179,-80.7008742
2G9,Somerset County Airport,40.0388708,-79.0149951
2H0,Shelby County Airport,39.410556,-88.845556
2J9,Quincy Municipal Airport,30.5978708,-84.557425
369,Atmautluak Airport,60.866667,-162.273056
36U,Heber City Municipal Airport,40.4818056,-111.4288056
38W,Lynden Airport,48.9558961,-122.4581183
3D2,Ephraim-Gibraltar Airport,45.1354167,-87.1879444
3G3,Wadsworth Municipal,41.0031572,-81.7564401
3G4,Ashland County Airport,40.9029722,-82.2556389
3J1,Ridgeland Airport,32.4934167,-80.99175
3W2,Put-in-Bay Airport,41.3521,-82.497
40J,Perry-Foley Airport,30.0692778,-83.5805833
41N,Braceville Airport,41.2111675,-80.9692572
47A,Cherokee County Airport,34.3122175,-84.4221556
49A,Gilmer County Airport,34.6282222,-84.5265833
49X,Chemehuevi Valley,34.528889,-114.431971
4A4,Polk County Airport - Cornelius Moore Field,34.0186944,-85.1464722
4A7,Clayton County Tara Field,33.389099,-84.332397
4A9,Isbell Field Airport,34.4736944,-85.7213889
4B8,Robertson Field,41.6893333,-72.8646944
4G0,Pittsburgh-Monroeville Airport,40.4526389,-79.7749167
4G2,Hamburg Inc Airport,42.7008925,-78.9147569
4G4,Youngstown Elser Metro Airport,40.9617953,-80.6773264
4I7,Putnam County Airport,39.6335556,-86.8138056
4U9,Dell Flight Strip,44.7357483,-112.7200133
52A,Madison GA Municipal Airport,33.612125,-83.4604444
54J,DeFuniak Springs Airport,30.7311111,-86.1537778
55J,Fernandina Beach Municipal Airport,30.6118333,-81.4611944
55S,Packwood,46.3625,-121.4067
57C,East Troy Municipal Airport,42.7971667,-88.3726111
5B2,Saratoga County Airport,43.050722,-73.861638
60J,Ocean Isle Beach Airport,33.9085056,-78.4366722
6A2,Griffin-Spalding County Airport,33.2269722,-84.2749444
6J4,Saluda County,33.5561,-81.4768
6K8,Tok Junction Airport,63.329444,-142.953611
6S0,Big Timber Airport,45.8063889,-109.9811111
6S2,Florence,43.9828168,-124.1113687
6Y8,Welke Airport,45.721111,-85.520278
70J,Cairo-Grady County Airport,30.8879767,-84.1547353
70N,Spring Hill Airport,41.3473569,-75.4158972
7A4,Foster Field,42.4664444,-90.1693889
7D9,Germack Airport,41.7778322,-80.9039797
7N7,Spitfire Aerodrome,39.7355633,-75.3977211
8M8,Garland Airport,44.8065278,-84.2761944
93C,Richland Airport,43.2833575,-90.2982819
99N,Bamberg County Airport,33.3045278,-81.1084167
9A1,Covington Municipal Airport,33.6323083,-83.8474472
9A5,Barwick Lafayette Airport,34.6884792,-85.2903319
9G1,Rock Airport,40.6035463,-79.8261189
A39,Phoenix Regional Airport,32.99169921875,-111.920997619629
A50,Colorado Springs East,38.87,-104.41
AAF,Apalachicola Regional Airport,29.7276066,-85.0274416
AAP,Andrau Airport,29.43,-95.35
ABE,Lehigh Valley Intl,40.652083,-75.440806
ABI,Abilene Rgnl,32.411319,-99.681897
ABL,Ambler Airport,67.106389,-157.8575
ABQ,Albuquerque International Sunport,35.0402222,-106.6091944
ABR,Aberdeen Regional Airport,45.4491,-98.4218
ABY,Southwest Georgia Regional Airport,31.5355,-84.1945
ACJ,Jimmy Carter Regional,32.0665,-84.1133
ACK,Nantucket Mem,41.253053,-70.060181
ACT,Waco Rgnl,31.611289,-97.230519
ACV,Arcata,40.978111,-124.108611
ACY,Atlantic City Intl,39.457583,-74.577167
ADK,Adak Airport,51.878,-176.646
ADM,Ardmore Muni,34.300833,-97.008889
ADQ,Kodiak,57.749967,-152.493856
ADS,Addison,32.9685594,-96.8364478
ADW,Andrews Afb,38.810806,-76.867028
AET,Allakaket Airport,66.5519,-152.6222
AEX,Alexandria Intl,31.3274,-92.549833
AFE,Kake Airport,56.961389,-133.910278
AFW,Fort Worth Alliance Airport,32.987778,-97.318889
AGC,Allegheny County Airport,40.3544,-79.9302
AGN,Angoon Seaplane Base,57.503611,-134.585
AGS,Augusta Rgnl At Bush Fld,33.369944,-81.9645
AHN,Athens Ben Epps Airport,33.9486,-83.3263
AIA,Alliance Municipal Airport,42.053333,-102.803889
AIK,Municipal Airport,33.6493889,-81.6850278
AIN,Wainwright Airport,70.638056,-159.994722
AIZ,Lee C Fine Memorial Airport,38.096035,-92.5494875
AKB,Atka Airport,52.220278,-174.206389
AKC,Akron Fulton Intl,41.0375,-81.466917
AKI,Akiak Airport,60.902778,-161.230556
AKK,Akhiok Airport,56.938611,-154.1825
AKN,King Salmon,58.676778,-156.649278
AKP,Anaktuvuk Pass Airport,68.1336,-151.743
ALB,Albany Intl,42.748267,-73.801692
ALI,Alice Intl,27.740889,-98.026944
ALM,Alamogordo White Sands Regional Airport,32.8399,-105.991
ALO,Waterloo Regional Airport,42.5571,-92.4003
ALS,San Luis Valley Regional Airport,37.435,-105.866667
ALW,Walla Walla Regional Airport,46.0949,-118.288
ALX,Alexandria,38.806346,-77.0621
ALZ,Alitak Seaplane Base,56.899444,-154.247778
AMA,Rick Husband Amarillo Intl,35.219369,-101.705931
ANB,Anniston Metro,33.588167,-85.858111
ANC,Ted Stevens Anchorage Intl,61.174361,-149.996361
AND,Anderson Rgnl,34.494583,-82.709389
ANI,Aniak Airport,61.5816,-159.543
ANN,Annette Island,55.042436,-131.572233
ANP,Lee Airport,38.942778,-76.568333
ANQ,Tri-State Steuben County Airport,41.6396983,-85.0834933
ANV,Anvik Airport,62.6467,-160.191
AOH,Lima Allen County Airport,40.707478,-84.0270781
AOO,Altoona Blair Co,40.296372,-78.320022
AOS,Amook Bay Seaplane Base,57.471389,-153.815278
APA,Centennial,39.570129,-104.849294
APC,Napa County Airport,38.2131944,-122.2806944
APF,Naples Muni,26.152619,-81.775294
APG,Phillips Aaf,39.466219,-76.168808
APN,Alpena County Regional Airport,45.0781,-83.5603
AQC,Klawock Seaplane Base,55.554658,-133.101693
ARA,Acadiana Rgnl,30.037758,-91.883896
ARB,Ann Arbor Municipal Airport,42.132274,-83.444418
ARC,Arctic Village Airport,68.1147,-145.579
ART,Watertown Intl,43.991922,-76.021739
ARV,Lakeland,45.927778000000004,-89.730833
ASE,Aspen Pitkin County Sardy Field,39.2232,-106.869
ASH,Boire Field Airport,42.78175,-71.5147778
AST,Astoria Regional Airport,46.157972,-123.878694
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436
ATL,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067
ATT,Camp Mabry Austin City,30.31666,-97.7666
ATW,Appleton,44.257526,-88.507576
ATY,Watertown Regional Airport,44.914,-97.1547
AUG,Augusta State,44.320647,-69.797317
AUK,Alakanuk Airport,62.68,-164.66
AUO,Auburn University Regional,32.3691,-85.2604
AUS,Austin Bergstrom Intl,30.194528,-97.669889
AUW,Wausau Downtown Airport,44.9262845,-89.6270018
AVL,Asheville Regional Airport,35.436194,-82.541806
AVO,Executive,27.591389,-81.528889
AVP,Wilkes Barre Scranton Intl,41.338478,-75.723403
AVW,Marana Regional,32.409556,-111.218388
AVX,Avalon,33.405,-118.415833
AZA,Phoenix-Mesa Gateway,33.307833,-111.655
AZO,Kalamazoo,42.234875,-85.552058
BAB,Beale Afb,39.136089,-121.436567
BAD,Barksdale Afb,32.50182,-93.662674
BAF,Barnes Municipal,42.1579472,-72.715875
BBX,Wings Field,40.1375,-75.265
BCE,Bryce Canyon,37.706444,-112.145806
BCT,Boca Raton,26.3785,-80.107694
BDE,Baudette Intl,48.728444,-94.612222
BDL,Bradley Intl,41.938889,-72.683222
BDR,Igor I Sikorsky Mem,41.163472,-73.126167
BEC,Beech Factory Airport,37.6939167,-97.2149167
BED,Laurence G Hanscom Fld,42.469953,-71.289031
BEH,Southwest Michigan Regional Airport,42.1285833,-86.4285
BET,Bethel,60.779778,-161.838
BFD,Bradford Regional Airport,41.8031,-78.6401
BFF,Western Nebraska Regional Airport,41.874,-103.596
BFI,Boeing Fld King Co Intl,47.53,-122.301947
BFL,Meadows Fld,35.433598,-119.05677
BFM,Mobile Downtown,30.626783,-88.068092
BFP,Beaver Falls,40.7724722,-80.3914444
BFT,Beaufort,32.477411,-80.723161
BGE,Decatur County Industrial Air Park,30.9715981,-84.6369278
BGM,Greater Binghamton Edwin A Link Fld,42.208689,-75.979839
BGR,Bangor Intl,44.807444,-68.828139
BHB,Hancock County - Bar Harbor,44.4497689,-68.3615653
BHM,Birmingham Intl,33.562942,-86.75355
BID,Block Island State Airport,41.168056,-71.577778
BIF,Biggs Aaf,31.849528,-106.380039
BIG,Allen Aaf,63.994547,-145.721642
BIL,Billings Logan International Airport,45.80921,-108.537654
BIS,Bismarck Municipal Airport,46.775842,-100.757931
BIV,Tulip City Airport,42.7427778,-86.1078333
BIX,Keesler Afb,30.410425,-88.924433
BJC,Rocky Mountain Metropolitan Airport,39.90888888,-105.11722222
BJI,Bemidji Regional Airport,47.510722,-94.934722
BKC,Buckland Airport,65.981667,-161.149167
BKD,Stephens Co,32.719047,-98.891
BKF,Buckley Afb,39.701668,-104.75166
BKG,Branson LLC,36.531994,-93.200556
BKH,Barking Sands Pmrf,22.022833,-159.785
BKL,Burke Lakefront Airport,41.5175,-81.683333
BKW,Raleigh County Memorial Airport,37.7873,-81.1242
BKX,Brookings Regional Airport,44.3048,-96.8169
BLD,Boulder City Municipal Airport,35.5651,-114.514
BLF,Mercer County Airport,37.2958,-81.2077
BLH,Blythe Airport,33.619167,-114.716889
BLI,Bellingham Intl,48.792694,-122.537528
BLV,Scott Afb Midamerica,38.545178,-89.835183
BMC,Brigham City,41.552,-112.062
BMG,Monroe County Airport,39.1460208,-86.6166805
BMI,Central Illinois Rgnl,40.477111,-88.915917
BMT,Beaumont Municipal,30.0702044,-94.2150967
BMX,Big Mountain Afs,59.361247,-155.258822
BNA,Nashville Intl,36.124472,-86.678194
BOI,Boise Air Terminal,43.564361,-116.222861
BOS,General Edward Lawrence Logan Intl,42.364347,-71.005181
BOW,Bartow Municipal Airport,27.9434,-81.7834
BPT,Southeast Texas Rgnl,29.950833,-94.020694
BQK,Brunswick Golden Isles Airport,31.2588,-81.4665
BRD,Brainerd Lakes Rgnl,46.398308,-94.138078
BRL,Southeast Iowa Regional Airport,40.7832,-91.1255
BRO,Brownsville South Padre Island Intl,25.906833,-97.425861
BRW,Wiley Post Will Rogers Mem,71.285446,-156.766003
BSF,Bradshaw Aaf,19.760056,-155.553717
BTI,Barter Island Lrrs,70.133989,-143.581867
BTM,Bert Mooney Airport,45.954806,-112.497472
BTR,Baton Rouge Metro Ryan Fld,30.533167,-91.149639
BTT,Bettles,66.913944,-151.529056
BTV,Burlington Intl,44.471861,-73.153278
BUF,Buffalo Niagara Intl,42.940525,-78.732167
BUR,Bob Hope,34.200667,-118.358667
BUU,Municipal Airport,42.6907171,-88.3046825
BUY,Burlington-Alamance Regional Airport,36.0485433,-79.4748892
BVY,Beverly Municipal Airport,42.584141,-70.9161444
BWD,KBWD,31.7936111,-98.9565
BWG,Bowling Green-Warren County Regional Airport,36.9645278,-86.4196667
BWI,Baltimore Washington Intl,39.175361,-76.668333
BXK,Buckeye Municipal Airport,33.420417,-112.68618
BXS,Borrego Valley Airport,33.2590278,-116.3209722
BYH,Arkansas Intl,35.964347,-89.943956
BYS,Bicycle Lake Aaf,35.280531,-116.630031
BYW,Blakely Island Airport,48.56025,-122.80243
BZN,Gallatin Field,45.777643,-111.160151
C02,Grand Geneva Resort Airport,42.6149167,-88.3895833
C16,Frasca Field,40.144979,-88.200197
C47,Portage Municipal Airport,43.5603136,-89.4828607
C65,Plymouth Municipal Airport,41.3651307,-86.3002574
C89,Sylvania Airport,42.70325,-87.9589722
C91,Dowagiac Municipal Airport,41.9929342,-86.1280125
CAE,Columbia Metropolitan,33.938833,-81.119528
CAK,Akron Canton Regional Airport,40.9160833,-81.4421944
CAR,Caribou Muni,46.8715,-68.017917
CBE,Greater Cumberland Rgnl.,39.615278000000004,-78.760556
CBM,Columbus Afb,33.643833,-88.443833
CCO,Coweta County Airport,33.3115656,-84.7697554
CCR,Buchanan Field Airport,37.9896667,-122.0568889
CDB,Cold Bay,55.206061,-162.725436
CDC,Cedar City Rgnl,37.700967,-113.098847
CDI,Cambridge Municipal Airport,39.9750278,-81.5775833
CDK,CedarKey,29.1342222,-83.0504722
CDN,Woodward Field,34.2835833,-80.5648611
CDR,Chadron Municipal Airport,42.8375,-103.095556
CDS,Childress Muni,34.433781,-100.287992
CDV,Merle K Mudhole Smith,60.491778,-145.477556
CDW,Caldwell Essex County Airport,40.8752222,-74.2813611
CEC,Del Norte County Airport,41.7802,-124.237
CEF,Westover Arb Metropolitan,42.194014,-72.534783
CEM,Central Airport,65.573889,-144.780833
CEU,Clemson,34.6722222,-82.8858889
CEW,Bob Sikes,30.778833,-86.522111
CEZ,Cortez Muni,37.303,-108.628056
CFD,Coulter Fld,30.715694,-96.331361
CGA,Craig Seaplane Base,55.478889,-133.147778
CGC,Crystal River,28.8676111,-82.5741111
CGF,Cuyahoga County,41.565124,-81.4863555
CGI,Cape Girardeau Regional Airport,37.2253,-89.5708
CGX,Meigs Field,41.860278,-87.609722
CGZ,Casa Grande Municipal Airport,32.954889,-111.766832
CHA,Lovell Fld,35.035278,-85.203808
CHI,All Airports,41.883611,-87.631667
CHO,Charlottesville-Albemarle,38.138639,-78.452861
CHS,Charleston Afb Intl,32.898647,-80.040528
CHU,Chuathbaluk Airport,61.579167,-159.215556
CIC,Chico Muni,39.795383,-121.858422
CID,Cedar Rapids,41.884694,-91.710806
CIK,Chalkyitsik Airport,66.645,-143.74
CIL,Council Airport,64.897778,-163.703333
CIU,Chippewa County International Airport,46.2508,-84.4724
CKB,Harrison Marion Regional Airport,39.2966,-80.2281
CKD,Crooked Creek Airport,61.867778,-158.135
CKF,Crisp County Cordele Airport,31.9888333,-83.7739167
CKV,Clarksville-Montgomery County Regional Airport,36.621944,-87.415
CLC,Clear Lake Metroport,29.5569,-95.137497
CLD,McClellan-Palomar Airport,33.0742,-117.1648
CLE,Cleveland Hopkins Intl,41.411689,-81.849794
CLL,Easterwood Fld,30.588583,-96.363833
CLM,William R Fairchild International Airport,48.1202,-123.5
CLS,Chehalis-Centralia,46.4062,-122.5897
CLT,Charlotte Douglas Intl,35.214,-80.943139
CLW,Clearwater Air Park,27.9764722,-82.7586667
CMH,Port Columbus Intl,39.997972,-82.891889
CMI,Champaign,40.03925,-88.278056
CMX,Houghton County Memorial Airport,47.1684,-88.4891
CNM,Cavern City Air Terminal,32.337472,-104.263278
CNW,Tstc Waco,31.637831,-97.074139
CNY,Canyonlands Field,38.755,-109.754722
COD,Yellowstone Rgnl,44.520194,-109.023806
COE,Pappy Boyington,47.7743056,-116.8195833
COF,Patrick Afb,28.234922,-80.610125
COI,Merritt Island Airport,28.3416111,-80.6854722
CON,Concord Municipal,43.20267,-71.50233
COS,City Of Colorado Springs Muni,38.805805,-104.700778
COT,Cotulla Lasalle Co,28.456694,-99.220294
COU,Columbia Rgnl,38.818094,-92.219631
CPR,Natrona Co Intl,42.908,-106.464417
CPS,St. Louis Downtown Airport,38.5707244,-90.1562211
CRE,Grand Strand Airport,33.81175,-78.7239444
CRP,Corpus Christi Intl,27.770361,-97.501222
CRW,Yeager,38.373147,-81.593189
CSG,Columbus Metropolitan Airport,32.5163333,-84.9388611
CTB,Cut Bank Muni,48.608353,-112.376144
CTH,Chester County G O Carlson Airport,39.9789,-75.8654
CTJ,West Georgia Regional Airport - O V Gray Field,33.6316964,-85.1522641
CTY,Cross City,29.6355278,-83.10475
CVG,Cincinnati Northern Kentucky Intl,39.048836,-84.667822
CVN,Clovis Muni,34.425139,-103.079278
CVO,Corvallis Muni,44.5067,-123.2915
CVS,Cannon Afb,34.382775,-103.322147
CVX,Charlevoix Municipal Airport,45.3047778,-85.2753333
CWA,Central Wisconsin,44.772726,-89.646635
CWI,Clinton Municipal,41.83075,-90.3289722
CWT,Chatsworth Station,34.256944,-118.598889
CXF,Coldfoot Airport,67.251389,-150.176111
CXL,Calexico Intl,32.669502,-115.51333
CXO,Lone Star Executive,30.351833,-95.414467
CXY,Capital City Airport,40.2171389,-76.8513611
CYF,Chefornak Airport,60.149167,-164.285556
CYM,Chatham Seaplane Base,57.515,-134.946111
CYS,Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839
CYT,Yakataga Airport,60.081901,-142.493611
CZF,Cape Romanzof Lrrs,61.780297,-166.038747
CZG,Tri-Cities,42.0471,-76.0578
CZN,Chisana Airport,62.071111,-142.048333
DAB,Daytona Beach Intl,29.179917,-81.058056
DAL,Dallas Love Fld,32.847111,-96.851778
DAW,Skyhaven Airport,43.2840556,-70.9292778
DAY,James M Cox Dayton Intl,39.902375,-84.219375
DBN,W H Barron Field,32.3388,-82.591
DBQ,Dubuque Rgnl,42.402,-90.709472
DCA,Ronald Reagan Washington Natl,38.852083,-77.037722
DDC,Dodge City Regional Airport,37.7634,-99.9656
DEC,Decatur,39.834564,-88.865689
DEN,Denver Intl,39.861656,-104.673178
DET,Coleman A Young Muni,42.409195,-83.009861
DFW,Dallas Fort Worth Intl,32.896828,-97.037997
DGL,Douglas Municipal Airport,31.3426028,-109.5064544
DHB,Deer Harbor Seaplane,48.618397,-123.00596
DHN,Dothan Rgnl,31.321339,-85.449628
DHT,Dalhart Muni,36.022586,-102.547278
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7975,-102.801944
DKB,De Kalb Taylor Municipal Airport,41.9338342,-88.7056864
DKK,Chautauqua County-Dunkirk Airport,42.4933353,-79.2720417
DKX,Knoxville Downtown Island Airport,35.9638333,-83.8736667
DLF,Laughlin Afb,29.359486,-100.777975
DLG,Dillingham,59.044667,-158.5055
DLH,Duluth Intl,46.842091,-92.193649
DLL,Baraboo Wisconsin Dells Airport,43.5217843,-89.7709266
DMA,Davis Monthan Afb,32.166467,-110.883144
DNL,Daniel Field Airport,33.4665028,-82.0393808
DNN,Dalton Municipal Airport,34.7229444,-84.87025
DNV,Vermilion Regional,40.1996944,-87.5955278
DOV,Dover Afb,39.129539,-75.465958
DPA,Dupage,41.907778,-88.248611
DQH,Douglas Municipal Airport,31.4767385,-82.8605664
DRG,Deering Airport,66.0696,-162.766
DRI,Beauregard Rgnl,30.831722,-93.339917
DRM,Drummond Island Airport,46.0093114,-83.7439342
DRO,Durango La Plata Co,37.151516,-107.75377
DRT,Del Rio Intl,29.374208,-100.927158
DSM,Des Moines Intl,41.533972,-93.663083
DTA,Delta Municipal Airport,39.3806386,-112.5077147
DTS,Destin,30.4000611,-86.4714772
DTW,Detroit Metro Wayne Co,42.212444,-83.353389
DUC,Halliburton Field Airport,34.4713056,-97.9598611
DUG,Bisbee Douglas Intl,31.469028,-109.603667
DUJ,DuBois Regional Airport,41.1783,-78.8987
DUT,Unalaska,53.900139,-166.5435
DVL,Devils Lake Regional Airport,48.114444,-98.908611
DVT,Deer Valley Municipal Airport,33.4117,112.457
DWA,Yolo County Airport,38.5793889,-121.8569444
DWH,David Wayne Hooks Field,30.063746,-95.554276
DWS,Orlando,28.398,-81.57
DXR,Danbury Municipal Airport,41.3715353,-73.4821906
DYS,Dyess Afb,32.420756,-99.8546
E25,Wickenburg Municipal Airport,33.96889877,-112.7990036
E51,Bagdad Airport,34.5958528,-113.170195
E55,Ocean Ridge Airport,38.8016111,-123.5306389
E63,Gila Bend Municipal Airport,32.960169,-112.673636
E91,Chinle Municipal Airport,36.1108806,-109.5754222
EAA,Eagle Airport,64.778056,-141.149722
EAR,Kearney Municipal Airport,40.727,-99.0068
EAT,Pangborn Field,47.398,-120.206
EAU,Chippewa Valley Regional Airport,44.8658,-91.4843
ECA,Iosco County,44.311,-83.422
ECG,Elizabeth City Cgas Rgnl,36.260581,-76.174572
ECP,Panama City-NW Florida Bea.,30.3417,-85.7973
EDF,Elmendorf Afb,61.250986,-149.806503
EDW,Edwards Afb,34.905417,-117.883739
EEK,Eek Airport,60.213611,-162.043889
EEN,Dillant Hopkins Airport,72.270833,42.898333
EET,Shelby County Airport,33.1777778,-86.7832222
EFD,Ellington Fld,29.607333,-95.15875
EGA,Eagle County Airport,39.6427611,-106.9159347
EGE,Eagle Co Rgnl,39.642556,-106.917694
EGT,Wellington Municipal,37.39411,-97.423225
EGV,Eagle River,45.932333,-89.268283
EGX,Egegik Airport,58.185556,-157.375556
EHM,Cape Newenham Lrrs,58.646428,-162.062778
EIL,Eielson Afb,64.665667,-147.1015
EKI,Elkhart Municipal,41.719444,-86.003333
EKN,Elkins Randolph Co Jennings Randolph,38.889444,-79.857139
EKO,Elko Regional Airport,40.8249,-115.792
EKY,Bessemer,33.1876,-86.5558
ELD,South Arkansas Rgnl At Goodwin Fld,33.220972,-92.813278
ELI,Elim Airport,64.615,-162.270556
ELM,Elmira Corning Rgnl,42.159889,-76.891611
ELP,El Paso Intl,31.80725,-106.377583
ELV,Elfin Cove Seaplane Base,58.195278,-136.3475
ELY,Ely Airport,39.299722,-114.841944
EMK,Emmonak Airport,62.786111,-164.490833
EMP,Emporia Municipal Airport,38.3321,-96.1912
ENA,Kenai Muni,60.573111,-151.245
END,Vance Afb,36.339167,-97.9165
ENV,Wendover,40.718694,-114.030889
ENW,Kenosha Regional Airport,42.5956944,-87.9278056
EOK,Keokuk Municipal Airport,40.4599078,-91.4285011
EPM,Eastport Municipal Airport,44.9101111,-67.0126944
EQY,Monroe Reqional Airport,35.01833,-80.62001
ERI,Erie Intl Tom Ridge Fld,42.082022,-80.176217
ERV,Kerrville Municipal Airport,29.9766667,-99.0854722
ERY,Luce County Airport,46.311199,-85.457298
ESC,Delta County Airport,45.722778,-87.093611
ESD,Orcas Island Airport,48.708056,-122.910556
ESF,Esler Rgnl,31.394903,-92.295772
ESN,Easton-Newnam Field Airport,38.8041667,-76.069
EUF,Weedon Field,31.5708,-85.0774
EUG,Mahlon Sweet Fld,44.124583,-123.211972
EVV,Evansville Regional,38.036997,-87.532364
EVW,Evanston-Uinta CO Burns Fld,41.1649,-111.0208
EWB,New Bedford Regional Airport,41.6761,-70.9569
EWK,Newton City-County Airport,38.0570785,-97.2752278
EWN,Craven Co Rgnl,35.072972,-77.042944
EWR,Newark Liberty Intl,40.6925,-74.168667
EXI,Excursion Inlet Seaplane Base,58.420556,-135.449167
EYW,Key West Intl,24.556111,-81.759556
F57,Seaplane Base,28.0575,-81.7628056
FAF,Felker Aaf,37.1325,-76.608841
FAI,Fairbanks Intl,64.815114,-147.856267
FAR,Hector International Airport,46.92065,-96.8157639
FAT,Fresno Yosemite Intl,36.776194,-119.71814
FAY,Fayetteville Regional Grannis Field,34.9912,-78.8803
FBG,Fredericksburg Amtrak Station,38.298416,-77.456875
FBK,Ladd Aaf,64.8375,-147.614444
FBR,Fort Bridger,41.236,-110.2436
FBS,Friday Harbor Seaplane Base,48.537222,-123.009722
FCA,Glacier Park Intl,48.310472,-114.256
FCM,Flying Cloud Airport,44.4938,-93.2726
FCS,Butts Aaf,38.678394,-104.756581
FDW,Fairfield County Airport,34.315472,-81.108806
FDY,Findlay Airport,41.0120278,-83.6686111
FFA,First Flight Airport,36.02,-75.67
FFC,Atlanta Regional Airport - Falcon Field,33.35725,-84.5718333
FFO,Wright Patterson Afb,39.826111,-84.048332
FFT,Capital City Airport,38.1819722,-84.9061389
FFZ,Mesa Falcon Field,33.4608001708984,-111.727996826172
