SampleNumber,Lead_ppb,Copper_ppb,Prop_Zip,SL_to_Meter,SampleLocation
LG01821,0,0,48504,Lead,KITCHEN
LG02912,0,120,48507,Copper,
LG04258,0,0,48503,Lead,KITCHEN
LG07068,0,0,48503,Lead,KITCHEN
LG10656,0,0,48507,Lead,BATHROOM
LG10780,0,50,48507,Lead,KITCHEN
LG16338,0,0,48503,Lead,KITCHEN
LG17447,0,0,48504,Lead,KITCHEN
LG17679,0,0,48503,Lead,KITCHEN
LG19531,0,50,48507,Lead,KITCHEN
LG19533,0,0,48507,Lead,KITCHEN
LG19695,0,70,48507,Lead,KITCHEN
LG19703,0,0,48503,Lead,KITCHEN
LG21926,0,0,48507,Lead,KITCHEN
LG22259,0,0,48505,Lead,KITCHEN
LG23081,0,0,48507,Lead,
LG23082,0,0,48532,Lead,KITCHEN
LG23172,0,0,48503,Lead Public Side,BATHROOM
LG23444,0,90,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG23744,0,0,48504,Lead,
LG24151,0,0,48503,Lead,BATHROOM
LG24328,0,0,48505,Lead,KITCHEN
LG24342,0,80,48507,Lead,KITCHEN
LG24345,0,0,48507,Lead,KITCHEN
LG29679,0,0,48507,Lead,BATHROOM
LG29840,0,0,48505,Lead,BATHROOM 
LG29850,0,0,48532,Lead,KITCHEN
LG30393,0,0,48504,Lead,
LG30679,0,0,48503,Lead,KITCHEN
LG30703,0,0,48503,Lead,KITCHEN
LG31557,0,0,48507,Lead,
LG34833,0,0,48503,Lead,KITCHEN
LG34847,0,0,48504,Lead,
LG34934,0,0,48504,Lead,KITCHEN
LG35025,0,0,48503,Lead,KITCHEN
LG35562,0,0,48507,Lead,KITCHEN
LG35619,0,0,48507,Lead,BATHROOM
LG35757,0,0,48532,Lead,BATHROOM
LG39162,0,0,48503,Lead,KITCHEN
LG42904,0,570,48507,Copper,KITCHEN
LG43218,0,110,48506,Copper,KITCHEN
LG43220,0,80,48507,Copper,KITCHEN
LG43222,0,0,48507,Lead,KITCHEN
LG47337,0,0,48503,Lead,KITCHEN
LG47350,0,70,48507,Copper,KITCHEN
LG47366,0,80,48506,Copper,KITCHEN
LG47401,0,0,48503,Lead,KITCHEN 
LG47414,0,0,48507,Lead,
LG47433,0,100,48503,Copper,
LG47435,0,0,48503,Lead,KITCHEN
LG47697,0,0,48503,Lead,KITCHEN
LG47698,0,110,48507,Copper,BATHROOM
LG47714,0,0,48504,Lead,KITCHEN
LG47716,0,180,48507,Copper,KITCHEN
LG47723,0,0,48505,Lead,BATHROOM
LG48071,0,0,48507,Lead,
LG48229,0,0,48507,Lead,KITCHEN
LG54441,0,100,48507,Copper,BATHROOM
LG54453,0,0,48505,Lead,KITCHEN
LG54493,0,50,48507,Copper,KITCHEN
LG54497,0,0,48504,Lead,KITCHEN
LG54824,0,0,48503,Lead,KITCHEN
LG54829,0,80,48506,Copper,KITCHEN
LG54837,0,100,48507,Copper,KITCHEN
LG54841,0,100,48503,Copper,KITCHEN
LG54854,0,0,48506,Lead,
LG54860,0,0,48532,Lead,KITCHEN
LG54865,0,0,48507,Copper,KITCHEN
LG55249,0,0,48507,Lead,KITCHEN
LG55561,0,120,48503,Copper,BATHROOM
LG01002,1,60,48506,Copper,KITCHEN
LG13644,1,0,48504,Lead,KITCHEN
LG16880,1,150,48506,Copper,KITCHEN
LG17343,1,0,48507,Lead,KITCHEN
LG17346,1,80,48507,Lead,KITCHEN
LG17354,1,0,48504,Lead,KITCHEN
LG17377,1,60,48507,Lead,KITCHEN
LG18371,1,130,48507,Copper,KITCHEN
LG19536,1,150,48507,Lead,KITCHEN
LG20036,1,0,48503,Lead,KITCHEN
LG20479,1,0,48503,Lead,KITCHEN
LG20992,1,210,48507,Lead,KITCHEN
LG21925,1,140,48507,Lead,KITCHEN
LG23164,1,0,48503,Lead Public Side,KITCHEN
LG23557,1,130,48507,Lead,KITCHEN
LG24338,1,0,48507,Lead,KITCHEN
LG24341,1,0,48507,Lead,BATHROOM
LG24348,1,70,48507,Lead,KITCHEN
LG24369,1,110,48507,Lead,KITCHEN
LG24830,1,150,48507,Copper,KITCHEN BATHROOM 
LG27973,1,0,48503,Lead,KITCHEN
LG27974,1,0,48503,Lead,
LG28088,1,0,48503,Lead,KITCHEN
LG29642,1,0,48505,Lead,
LG29676,1,0,48507,Lead,KITCHEN
LG29695,1,100,48507,Lead,KITCHEN
LG30037,1,70,48507,Lead,KITCHEN
LG30039,1,110,48507,Lead,KITCHEN
LG30150,1,0,48506,Lead Public Side,KITCHEN
LG30371,1,0,48507,Lead,KITCHEN
LG30662,1,0,48503,Lead,KITCHEN
LG31290,1,0,48507,Lead,BATHROOM 
LG34182,1,0,48507,Lead,KITCHEN
LG34869,1,0,48504,Lead,BATHROOM
LG34878,1,0,48504,Lead,KITCHEN
LG34902,1,0,48503,Lead,BATHROOM
LG34988,1,0,48503,Lead,BATHROOM
LG35552,1,150,48507,Lead,KITCHEN
LG35553,1,0,48507,Lead,KITCHEN
LG35554,1,100,48507,Lead,KITCHEN
LG35563,1,50,48507,Lead,KITCHEN
LG35621,1,70,48507,Lead,KITCHEN
LG35683,1,0,48507,Lead,KITCHEN
LG35684,1,120,48507,Lead,BATHROOM
LG35687,1,110,48503,Lead,
LG35716,1,0,48504,Lead,KITCHEN
LG36155,1,0,48503,Lead,BATHROOM
LG36960,1,60,48507,Lead,
LG43214,1,80,48507,Copper,
LG47369,1,0,48503,Lead,KITCHEN
LG47374,1,0,48503,Lead,KITCHEN
LG47390,1,0,48504,Lead,KITCHEN
LG47408,1,110,48507,Copper,KITCHEN
LG47415,1,0,48507,Lead,KITCHEN
LG47426,1,0,48507,Lead,KITCHEN
LG47443,1,0,48507,Lead,KITCHEN
LG47707,1,80,48503,Lead,KITCHEN
LG47713,1,0,48504,Lead,KITCHEN
LG47726,1,120,48507,Copper,KITCHEN
LG48068,1,0,48504,Lead,KITCHEN
LG48075,1,0,48504,Lead,
LG53200,1,0,48506,Lead,BATHROOM
LG54456,1,0,48504,Lead,
LG54457,1,100,48507,Copper,KITCHEN
LG54460,1,0,48507,Lead,BATHROOM
LG54465,1,170,48507,Copper,BATHROOM
LG54820,1,0,48503,Lead,KITCHEN
LG54839,1,0,48503,Lead,
LG54863,1,90,48503,Lead,BATHROOM
LG55240,1,0,48507,Lead,KITCHEN
LG55254,1,0,48507,Lead,KITCHEN
LG55516,1,0,48503,Lead,KITCHEN
LG55560,1,130,48507,Lead,KITCHEN
LG00905,2,0,48507,Lead,KITCHEN
LG02115,2,120,48507,Lead,KITCHEN
LG03669,2,160,48507,Copper,KITCHEN
LG04271,2,0,48506,Lead,KITCHEN
LG05911,2,0,48504,Lead,KITCHEN
LG06734,2,0,48503,Lead,KITCHEN
LG09923,2,100,48503,Lead Public Side,KITCHEN
LG10106,2,50,48506,Lead,BATHROOM
LG12985,2,70,48507,Lead,KITCHEN
LG13739,2,60,48503,Lead,
LG13766,2,90,48507,Lead,BATHROOM
LG13942,2,0,48507,Lead,KITCHEN
LG14245,2,0,48504,Lead,BATHROOM
LG17353,2,130,48507,Lead,KITCHEN
LG18063,2,150,48507,Lead,KITCHEN
LG19538,2,0,48507,Lead,KITCHEN
LG19774,2,0,48503,Lead,KITCHEN
LG19987,2,0,48503,Lead Public Side,KITCHEN
LG20631,2,190,48507,Copper,KITCHEN
LG20991,2,0,48507,Lead,KITCHEN
LG20994,2,140,48507,Lead,KITCHEN
LG21365,2,0,48503,Lead Public Side,KITCHEN
LG21903,2,0,48503,Lead,KITCHEN
LG23553,2,130,48507,Lead,KITCHEN
LG23740,2,0,48504,Lead,KITCHEN
LG24322,2,0,48504,Lead,KITCHEN
LG24344,2,180,48507,Lead,KITCHEN
LG24358,2,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG24761,2,0,48503,Lead,KITCHEN
LG25113,2,0,48503,Lead,
LG26282,2,110,48507,Lead,KITCHEN 
LG29609,2,0,48504,Lead,KITCHEN
LG29697,2,0,48507,Lead,BATHROOM
LG29752,2,0,48504,Lead,KITCHEN
LG29846,2,70,48507,Copper,BATHROOM
LG29866,2,0,48507,Lead,BATHROOM
LG30059,2,200,48507,Lead,KITCHEN
LG30439,2,0,48507,Lead,KITCHEN
LG30454,2,0,48507,Lead,BATHROOM
LG30701,2,0,48504,Lead,BATHROOM
LG30708,2,0,48503,Lead,KITCHEN
LG31267,2,80,48503,Lead,KITCHEN
LG31286,2,0,48503,Lead,KITCHEN
LG31291,2,90,48507,Lead,KITCHEN
LG31295,2,0,48505,Lead Public Side,KITCHEN
LG34180,2,50,48507,Lead,KITCHEN
LG34792,2,0,48504,Lead,BATHROOM
LG34849,2,0,48503,Lead,BATHROOM
LG34882,2,200,48507,Copper,BATHROOM
LG34957,2,0,48504,Lead,KITCHEN
LG34962,2,170,48504,Lead,KITCHEN
LG34985,2,70,48503,Lead,KITCHEN
LG35023,2,210,48503,Lead,KITCHEN
LG35561,2,310,48507,Lead,KITCHEN
LG35623,2,0,48507,Lead,KITCHEN 
LG35720,2,70,48504,Lead,KITCHEN
LG35806,2,0,48503,Lead,
LG35830,2,0,48507,Lead,KITCHEN
LG36168,2,0,48504,Lead,KITCHEN
LG36387,2,0,48503,Lead,KITCHEN
LG36394,2,60,48503,Lead,KITCHEN
LG36959,2,0,48504,Lead,KITCHEN
LG43213,2,160,48507,Copper,KITCHEN
LG43219,2,0,48503,Lead,
LG47336,2,80,48503,Copper,BATHROOM 
LG47344,2,70,48503,Lead,KITCHEN
LG47352,2,140,48507,Lead,KITCHEN
LG47359,2,80,48507,Copper,KITCHEN
LG47389,2,60,48507,Copper,
LG47392,2,0,48504,Lead,KITCHEN
LG47396,2,70,48504,Lead,KITCHEN
LG47397,2,0,48504,Lead,KITCHEN
LG47403,2,90,48503,Copper,KITCHEN
LG47404,2,0,48507,Lead,KITCHEN
LG47410,2,0,48503,Lead,BATHROOM
LG47411,2,110,48507,Lead,
LG47422,2,150,48507,Lead,KITCHEN
LG47423,2,0,48503,Lead,KITCHEN
LG47429,2,100,48507,Lead,KITCHEN
LG47702,2,50,48507,Lead,KITCHEN
LG47709,2,320,48507,Copper,BATHROOM
LG48070,2,0,48504,Lead,KITCHEN
LG48227,2,0,48507,Lead,KITCHEN
LG54274,2,0,48503,Lead,
LG54439,2,0,48507,Lead,KITCHEN
LG54445,2,0,48507,Lead,KITCHEN
LG54452,2,100,48507,Lead,
LG54455,2,0,48504,Lead,
LG54459,2,80,48507,Copper,BATHROOM
LG54468,2,0,48503,Lead,KITCHEN
LG54473,2,170,48503,Lead,KITCHEN
LG54485,2,0,48507,Lead,KITCHEN
LG54491,2,0,48503,Lead,BATHROOM
LG54492,2,310,48507,Copper,KITCHEN
LG54504,2,0,48504,Lead,KITCHEN
LG54508,2,0,48504,Lead,
LG54511,2,70,48507,Copper,BATHROOM
LG54847,2,0,48505,Lead,
LG55234,2,0,48504,Lead,
LG55245,2,0,48504,Lead,KITCHEN
LG55250,2,0,48507,Lead,KITCHEN
LG55251,2,0,48503,Lead,KITCHEN
LG55559,2,0,48503,Lead,KITCHEN
LG55565,2,0,48507,Lead,KITCHEN
LG56688,2,0,48504,Lead,
LG03475,3,50,48507,Lead,KITCHEN
LG05009,3,0,48504,Lead,KITCHEN
LG06263,3,0,48504,Lead,KITCHEN
LG06633,3,110,48503,Lead,KITCHEN
LG08570,3,70,48507,Lead,KITCHEN
LG13417,3,0,48504,Lead,KITCHEN
LG13719,3,0,48503,Lead Public Side,KITCHEN
LG14017,3,60,48507,Lead,KITCHEN
LG17407,3,60,48507,Lead,KITCHEN
LG17682,3,380,48503,Lead,KITCHEN
LG19329,3,70,48503,Lead,
LG19577,3,0,48504,Lead,BATHROOM
LG19972,3,0,48503,Lead,KITCHEN
LG20508,3,50,48503,Lead,KITCHEN
LG20569,3,50,48507,Lead,KITCHEN
LG21924,3,0,48507,Lead,KITCHEN
LG21930,3,0,48507,Lead,KITCHEN
LG23743,3,0,48504,Lead,KITCHEN
LG23793,3,0,48503,Lead,
LG23953,3,280,48503,Lead,KITCHEN
LG24194,3,0,48507,Lead,
LG24238,3,0,48507,Lead,KITCHEN
LG24783,3,0,48507,Lead,KITCHEN
LG24787,3,60,48507,Lead,KITCHEN
LG24800,3,0,48504,Lead,KITCHEN
LG25428,3,550,48503,Copper,KITCHEN
LG26278,3,230,48507,Lead,KITCHEN
LG28085,3,0,48503,Lead,
LG28089,3,0,48503,Lead,KITCHEN 
LG29595,3,130,48504,Lead,KITCHEN
LG29622,3,60,48507,Lead,KITCHEN
LG30045,3,0,48507,Lead,KITCHEN
LG30132,3,50,48503,Lead,KITCHEN
LG30139,3,0,48507,Lead,KITCHEN
LG30666,3,0,48504,Lead,KITCHEN
LG34868,3,0,48504,Lead,KITCHEN
LG34903,3,70,48503,Lead,
LG35043,3,0,48504,Lead,BATHROOM
LG35056,3,0,48503,Lead,KITCHEN
LG35673,3,0,48504,Lead,KITCHEN
LG35674,3,60,48507,Lead,KITCHEN
LG35685,3,0,48507,Lead,KITCHEN 
LG35771,3,150,48507,Lead,BATHROOM
LG36393,3,0,48503,Lead,KITCHEN
LG42906,3,110,48507,Copper,KITCHEN
LG43215,3,90,48503,Copper,BATHROOM
LG47347,3,0,48507,Lead,KITCHEN 
LG47349,3,0,48504,Lead,KITCHEN
LG47351,3,0,48504,Lead,KITCHEN
LG47379,3,0,48503,Lead,KITCHEN
LG47405,3,260,48503,Lead,KITCHEN
LG47710,3,0,48507,Lead,KITCHEN
LG48232,3,0,48504,Lead,KITCHEN
LG50586,3,90,48504,Lead,KITCHEN
LG54444,3,120,48507,Copper,KITCHEN
LG54477,3,0,48507,Lead,KITCHEN
LG54486,3,0,48507,Lead,KITCHEN
LG54495,3,0,48504,Lead,KITCHEN
LG54498,3,0,48504,Lead,KITCHEN
LG54502,3,0,48504,Lead,BATHROOM
LG54509,3,0,48504,Lead,BATHROOM
LG54516,3,0,48504,Lead,
LG54818,3,0,48503,Lead,KITCHEN
LG54842,3,0,48503,Lead,KITCHEN
LG55241,3,0,48504,Lead,
LG55248,3,80,48507,Lead,KITCHEN
LG55258,3,0,48507,Lead,KITCHEN
LG55568,3,100,48507,Lead,KITCHEN
LG02533,4,0,48504,Lead,KITCHEN
LG02667,4,0,48504,Lead,BATHROOM
LG02901,4,0,48507,Lead,KITCHEN
LG05073,4,0,48503,Lead Public Side Galvanized Private Side,
LG17437,4,150,48503,Lead,KITCHEN
LG17557,4,80,48503,Lead,KITCHEN
LG17678,4,0,48503,Lead,KITCHEN
LG19380,4,130,48503,Lead,KITCHEN
LG19418,4,0,48504,Lead,KITCHEN
LG19429,4,0,48504,Lead,KITCHEN
LG19529,4,0,48507,Lead,
LG19684,4,0,48507,Lead,
LG19975,4,70,48507,Lead,KITCHEN
LG20515,4,180,48507,Copper,KITCHEN BATHROOM 
LG20570,4,90,48507,Lead,KITCHEN
